Varenr.,Beskrivelse,GTIN
054-K20023,Panel 2240 x 586 x 19 mm,5707439012219
054-K20024,Panel 1920 x 714 x 19 mm,5707439012226
054-K20025,Panel 2080 x 714 x 19 mm,5707439012233
054-K20028,Panel 920 x 954 x 19 mm,5707439043282
054-K60122,Synlig side 640x192x16mm,5707438850393
054-K60125,Synlig side 640x512x16mm,5707438850416
054-K60148,Synlig side 480x512x16mm,5707438850430
054-K60150,Synlig side 480x320x16mm,5707438850454
054-SG26085,Panel for Lineært lys 2600 x 800 x 19mm,5707439058309
054-T11073,Dekksett MANO,5707439068742
054-T11080,Dekke 800 x 100 mm,5707438850478
054-T11096,topp 960 x 100 mm,5707438850492
054-T11192,topp 1920 x 100 mm,5707438850508
054-T11208,topp 2080 x 100 mm,5707438850522
054-T11224,topp 2240 x 100mm,5707438850546
059-K10109,Synlig side 2080x688x16mm,5707438968531
059-K10110,Synlig side 2080x560x16mm,5707438968548
059-K10125,Synlig side 1920x320x16mm,5707439046702
059-K10127,Synlig side 2080x320x16mm,5707439055360
059-K10145,Synlig side 800x320x16mm,5707438968456
059-K10147,Synlig side 780x600x19mm,5707438975904
059-K10170,Synlig side 640x320x16mm,5707438968487
059-K10700,Panel 320 x 344 x 10 mm,5707438967381
059-K10701,Panel 640 x 344 x 10 mm,5707438967404
059-K10702,Panel 800 x 344 x 10 mm,5707438967428
059-K10703,Panel 677 x 368 x 10 mm,5707438967442
059-K10704,Panel 920 x 368 x 10 mm,5707438967466
059-K10705,Panel 2200 x 584 x 10 mm,5707438967480
059-K10706,Panel 2200 x 712 x 10 mm,5707438967503
059-K10920,Panel 920 x 584 x 10 mm,5707438967206
059-K10921,Panel 920 x 607 x 10 mm,5707438967220
059-K10922,Panel 920 x 712 x 10 mm,5707438967244
059-K10923,Panel 920 x 735 x 10 mm,5707438967268
059-K10924,Panel 920 x 927 x 10 mm,5707438967282
059-K10925,Panel 920 x 952 x 10 mm,5707438967305
059-K10926,Panel 920 x 1055 x 10 mm,5707438967329
059-K10927,Panel 920 x 1079 x 10 mm,5707438967343
059-K10928,Panel 920 x 1167 x 10 mm,5707438967367
059-K60122,Synlig side 640x192x16mm,5707439046726
059-K60125,Synlig side 640x512x16mm,5707439046733
059-K60148,Synlig side 480x512x16mm,5707439046740
059-T11074,Dekksett PRATO,5707438968609
059-T11080,Dekke 800 x 100 mm,5707438968630
059-T11208,topp 2080 x 100 mm,5707438968647
063-FR090-01,Kaffestasjon Side Lys eik 96x56cm,5714889006163
063-FR090-02-060,Kaffestasjonsdeler Lys eik 96x60x56cm,5714889006170
063-FR090-02-080,Kaffestasjonsdeler Lys eik 96x80x56cm,5714889006187
063-FR090-02-100,Kaffestasjonsdeler Lys eik 96x100x56cm,5714889006194
063-FR090-02-120,Kaffestasjonsdeler Lys eik 96x120x56cm,5714889006200
063-FR090-03-060,Kaffestasjonsokkel og dekk Lys eik 96x60x56cm,5714889006217
063-FR090-03-080,Kaffestasjonsokkel og dekk Lys eik 96x80x56cm,5714889006224
063-FR090-03-100,Kaffestasjonsokkel og dekk Lys eik 96x100x56cm,5714889006231
063-FR090-03-120,Kaffestasjonsokkel og dekk Lys eik 96x120x56cm,5714889006248
063-K10031,"Panel 920 x 586 x 18,8 mm",5707438985934
063-K10033,"Panel 920 x 714 x 18,8 mm",5707438985996
063-K10036,"Panel 920 x 932 x 18,8 mm",5707438986054
063-K10037,"Panel 920 x 1060 x 18,8 mm",5707438986085
063-K10038,"Panel 920 x 1172 x 18,8 mm",5707438986115
063-K10052,"Panel 920 x 606 x 18,8 mm",5707438976666
063-K10054,"Panel 920 x 734 x 18,8 mm",5707438976741
063-K10056,"Panel 640 x 538 x 18,8 mm",5707438986177
063-K10109,Synlig side 2080x688x16mm,5707438986870
063-K10110,Synlig side 2080x560x16mm,5707438988072
063-K10119,Synlig side 1920x688x16mm,5707439017290
063-K10120,Synlig side 1920x560x16mm,5707439017306
063-K10125,Synlig side 1920x320x16mm,5707439017313
063-K10127,Synlig side 2080x320x16mm,5707439046801
063-K10130,Synlig side 1280x560x16mm,5707439017320
063-K10131,Synlig side 1280x320x16mm,5707439017337
063-K10135,Synlig side 800x560x16mm,5707439017344
063-K10136,Synlig side 800x688x16mm,5707439017351
063-K10137,Synlig side for øyløsning 800x1120x16mm,5707439017368
063-K10138,Synlig side for øyløsning 800x880x16mm,5707439017375
063-K10139,Synlig side for øyløsning 800x1008x16mm,5707439017382
063-K10145,Synlig side 800x320x16mm,5707439017399
063-K10146,"Synlig side for hjørneskap 800x600x18,8mm",5707438976970
063-K10170,Synlig side 640x320x16mm,5707439017412
063-K10321,Synlig side 320x320x16mm,5707439017429
063-K10800,Avrundet stolpe R100 x 800mm,5707439071926
063-K20008,"Panel 320 x 346 x 18,8 mm",5707439019997
063-K20009,"Panel 480 x 346 x 18,8 mm",5707439020009
063-K20010,"Panel 640 x 346 x 18,8 mm",5707439020016
063-K20011,"Panel 800 x 346 x 18,8 mm",5707439020023
063-K20014,"Panel 1400 x 586 x 18,8 mm",5707439020030
063-K20015,"Panel 2040 x 586 x 18,8 mm",5707439020047
063-K20016,"Panel 2200 x 586 x 18,8 mm",5707439020054
063-K20018,"Panel 2040 x 714 x 18,8 mm",5707439020061
063-K20019,"Panel 2200 x 714 x 18,8 mm",5707439020078
063-K60122,Synlig side 640x192x16mm,5707439017436
063-K60125,Synlig side 640x512x16mm,5707439017443
063-K60148,Synlig side 480x512x16mm,5707439017450
063-K60150,Synlig side 480x320x16mm,5707439017467
063-KS03256,Synlig side 320x560x16mm,5707439021167
063-SG26085,"Panel for Lineært lys 2600 x 800 x 18,8mm",5707439058316
063-T11080,Dekke 800 x 100 mm,5707438976994
063-T11192,topp 1920 x 100 mm,5707439017474
063-T11208,topp 2080 x 100 mm,5707438981301
063-T12122,Ende sokkel 120 x 532mm Lys eik,5707439017481
063-T12124,Sokkel forstykke 120 x 2590mm Lys eik,5707438977014
063-T12127,Ende sokkel 120 x 1064mm Lys eik,5707439017498
063-T12128,Endesokkel 120 x 824mm Lys eik,5707439017504
063-T12133,Sokkelfrontstykke for oppbevaringsplass 120 x 610mm Lys,5707439042766
063-T32122,Ende sokkel 120 x 658mm Lys eik,5707439017511
063-T32128,Endesokkel 120 x 952mm Lys eik,5707439017528
063-T40259,For takløsning 400 x 2590 x 16mm,5707439034402
064-FR035-040,Frittstående skap uten hylle 32 x 40 x 32cm,5707439034419
064-FR035-050,Frittstående skap uten hylle 32 x 50 x 32cm,5707439034426
064-FR035-060,Frittstående skap uten hylle 32 x 60 x 32cm,5707439034433
064-FR065-040,Frittstående skap 1 hylle 64 x 40 x 32cm,5707439034440
064-FR065-050,Frittstående skap 1 hylle 64 x 50 x 32cm,5707439034457
064-FR065-060,Frittstående skap 1 hylle 64 x 60 x 32cm,5707439034464
064-FR085-040,Frittstående skap 2 hyller 80 x 40 x 32cm,5707439034471
064-FR085-050,Frittstående skap 2 hyller 80 x 50 x 32cm,5707439034488
064-FR085-060,Frittstående skap 2 hyller 80 x 60 x 32cm,5707439034495
064-FR090-01,Kaffestasjon Side Mørk eik 96x56cm,5714889006255
064-FR090-02-060,Kaffestasjon deler Mørk eik 96x60x56cm,5714889006262
064-FR090-02-080,Kaffestasjon deler Mørk eik 96x80x56cm,5714889006279
064-FR090-02-100,Kaffestasjonsdeler Mørk eik 96x100x56cm,5714889006286
064-FR090-02-120,Kaffestasjon deler Mørk eik 96x120x56cm,5714889006293
064-FR090-03-060,Kaffestasjonsokkel og dekk Mørk eik 96x60x56cm,5714889006309
064-FR090-03-080,Kaffestasjonsokkel og dekk Mørk eik 96x80x56cm,5714889006316
064-FR090-03-100,Kaffestasjonsokkel og dekk Mørk eik 96x100x56cm,5714889006323
064-FR090-03-120,Kaffestasjonsokkel og dekk Mørk eik 96x120x56cm,5714889006330
064-K10031,"Panel 920 x 586 x 18,8 mm",5707438985941
064-K10033,"Panel 920 x 714 x 18,8 mm",5707438986009
064-K10036,"Panel 920 x 932 x 18,8 mm",5707438986061
064-K10037,"Panel 920 x 1060 x 18,8 mm",5707438986092
064-K10038,"Panel 920 x 1172 x 18,8 mm",5707438986122
064-K10052,"Panel 920 x 606 x 18,8 mm",5707438977625
064-K10054,"Panel 920 x 734 x 18,8 mm",5707438977649
064-K10056,"Panel 640 x 538 x 18,8 mm",5707438986184
064-K10109,Synlig side 2080x688x16mm,5707438986887
064-K10110,Synlig side 2080x560x16mm,5707438988089
064-K10119,Synlig side 1920x688x16mm,5707439015722
064-K10120,Synlig side 1920x560x16mm,5707439015739
064-K10125,Synlig side 1920x320x16mm,5707439015746
064-K10127,Synlig side 2080x320x16mm,5707439046818
064-K10130,Synlig side 1280x560x16mm,5707439015753
064-K10131,Synlig side 1280x320x16mm,5707439015760
064-K10135,Synlig side 800x560x16mm,5707439015777
064-K10136,Synlig side 800x688x16mm,5707439015784
064-K10137,Synlig side for øyløsning 800x1120x16mm,5707439015791
064-K10138,Synlig side for øyløsning 800x880x16mm,5707439015807
064-K10139,Synlig side for øyløsning 800x1008x16mm,5707439015814
064-K10145,Synlig side 800x320x16mm,5707439015821
064-K10146,"Synlig side for hjørneskap 800x600x18,8mm",5707438977656
064-K10170,Synlig side 640x320x16mm,5707439015845
064-K10321,Synlig side 320x320x16mm,5707439015852
064-K10800,Avrundet stolpe R100 x 800mm,5707439071933
064-K20008,"Panel 320 x 346 x 18,8 mm",5707439020092
064-K20009,"Panel 480 x 346 x 18,8 mm",5707439020108
064-K20010,"Panel 640 x 346 x 18,8 mm",5707439020115
064-K20011,"Panel 800 x 346 x 18,8 mm",5707439020122
064-K20014,"Panel 1400 x 586 x 18,8 mm",5707439020139
064-K20015,"Panel 2040 x 586 x 18,8 mm",5707439020146
064-K20016,"Panel 2200 x 586 x 18,8 mm",5707439020153
064-K20018,"Panel 2040 x 714 x 18,8 mm",5707439020160
064-K20019,"Panel 2200 x 714 x 18,8 mm",5707439020177
064-K60122,Synlig side 640x192x16mm,5707439015869
064-K60125,Synlig side 640x512x16mm,5707439015876
064-K60148,Synlig side 480x512x16mm,5707439015883
064-K60150,Synlig side 480x320x16mm,5707439015890
064-KS03256,Synlig side 320x560x16mm,5707439021174
064-SG26085,"Panel for Lineært lys 2600 x 800 x 18,8mm",5707439058323
064-T11080,Dekke 800 x 100 mm,5707438977762
064-T11192,topp 1920 x 100 mm,5707439015906
064-T11208,topp 2080 x 100 mm,5707438981318
064-T12122,Ende sokkel 120 x 532mm Mørk eik,5707439015913
064-T12124,Sokkel forstykke 120 x 2590mm Mørk eik,5707438977809
064-T12127,Ende sokkel 120 x 1064mm Mørk eik,5707439015920
064-T12128,Ende sokkel 120 x 824mm Mørk eik,5707439015937
064-T12133,Sokkelfrontstykke for oppbevaringsplass 120 x 610mm Mørk o,5707439042773
064-T32122,Ende sokkel 120 x 658mm Mørk eik,5707439015944
064-T32128,Ende sokkel 120 x 952mm Mørk eik,5707439015951
064-T40259,For takløsning 400 x 2590 x 16mm,5707439034501
076-K10110,Side 2080x560x16mm,5707438348203
076-K10120,Side 1920x560x16mm,5707438348234
076-K10125,Side 1920x320x16mm,5707438348289
076-K10127,Side 2080x320x16mm,5707439046825
076-K10130,Side 1280x560x16mm,5707438348333
076-K10131,Side 1280x320x16mm,5707438348388
076-K10135,Side 800x560x16mm,5707438348418
076-K10136,Side 800x688x16mm,5707438348470
076-K10145,Side 800x320x16mm,5707438217257
076-K10160,Side 640x560x16mm,5707438617200
076-K10170,Side 640x320x16mm,5707438197047
076-K10321,Side 320x320x16mm,5707438197078
076-K11105,"Bunn og topp 1167,5 x 558,6 x 16 mm",5707438348722
076-K11110,"Bunn og topp 967,5 x 558,6 x 16 mm",5707438348746
076-K11115,"Bunn og topp 767,5 x 558,6 x 16 mm",5707438348760
076-K11120,"Bunn og topp 567,5 x 558,6 x 16 mm",5707438348784
076-K11125,"Bunn og topp 467,5 x 558,6 x 16 mm",5707438348807
076-K11130,"Bunn og topp 367,5 x 558,6 x 16 mm",5707438348845
076-K11135,"Bunn og topp 267,5 x 558,6 x 16 mm",5707438348883
076-K11145,"Bunn og topp (90x90) 884 x 558,6 x 16mm",5707438348906
076-K11150,"Bunn og topp (90x90) 325,4 x 558,6 x 16 mm",5707438348920
076-K11155,"Sokkel og lokk til kjøleskap 567,5 x 515 x 16mm",5707438348982
076-K11159,"Bunn og topp uten boring 567,5 x 558,6 x 16mm",5707438619884
076-K11162,"Bunn og topp 767,5 x 318,6 x 19 mm",5707439073272
076-K11165,"Bunn og topp 767,5 x 318,6 x 16 mm",5707438197085
076-K11169,"Bunnboret for 2 spotlights 767,5 x 318,6 x 19 mm",5707439073265
076-K11170,"Bunn og topp 567,5 x 318,6 x 16 mm",5707438197108
076-K11172,"Bunnboret for punkt 567,5 x 318,6 x 16mm",5707439051331
076-K11175,"Bunn og topp 467,5 x 318,6 x 16 mm",5707438197122
076-K11177,"Bunnboret for punkt 467,5 x 318,6 x 16mm",5707439051348
076-K11180,"Bunn og topp 367,5 x 318,6 x 16 mm",5707438197146
076-K11182,"Bunnboret for punkt 367,5 x 318,6 x 16mm",5707439051355
076-K12420,Side for avtrekkshette 480x320x16mm R.,5707438989253
076-K12421,Side for avtrekkshette 480x320x16mm L.,5707438989277
076-K12422,Side for avtrekkshette 640x320x16mm R.,5707438989291
076-K12423,Side for avtrekkshette 640x320x16mm L.,5707438989314
076-K12426,Side for avtrekkshette 800x320x16mm R.,5707438989338
076-K12427,Side for avtrekkshette 800x320x16mm L.,5707438989352
076-K12930,"Byggeplanke 567,5 x 513,6 x 16mm",5707438197177
076-K13309,Sinkstykke 120cm,5707438621610
076-K13310,Sinkstykke 100cm,5707438395771
076-K13315,Sinkstykke 80cm,5707438395641
076-K13320,Sinkstykke 60cm,5707438395672
076-K13325,Sinkstykke 50cm,5707438395702
076-K13330,Sinkstykke 40cm,5707438395733
076-K13335,Sinkstykke 30cm,5707438612953
076-K13440,"topp for avtrekkshette 567,5 x 108 x 16mm",5707438541765
076-K31105,"Bunn og topp 1167,5 x 686,6 x 16 mm",5707438349309
076-K31110,"Bunn og topp 967,5 x 686,6 x 16 mm",5707438349323
076-K31115,"Bunn og topp 767,5 x 686,6 x 16 mm",5707438349347
076-K31120,"Bunn og topp 567,5 x 686,6 x 16 mm",5707438349361
076-K31125,"Bunn og topp 467,5 x 686,6 x 16 mm",5707438349385
076-K31130,"Bunn og topp 367,5 x 686,6 x 16 mm",5707438349408
076-K60122,Side 640x192x16mm,5707438197054
076-K60125,Side 640x512x16mm,5707438349545
076-K60148,Side 480x512x16mm,5707438349590
076-K60150,Side 480x320x16mm,5707438197061
076-K61100,"Bunn og topp 967,5 x 510,6 x 16 mm",5707438742186
076-K61105,"Bunn og topp 1167,5 x 510,6 x 16 mm",5707438349682
076-K61110,"Bunn og topp 767,5 x 510,6 x 16 mm",5707438349699
076-K61115,"Bunn og topp 567,5 x 510,6 x 16 mm",5707438349705
076-K61117,"Bunn og topp 467,5 x 510,6 x 16 mm",5707439046832
076-K61120,"Bunn og topp 367,5 x 510,6 x 16 mm",5707438349712
076-K61145,"Bunn og topp 367,5 x 190,6 x 16 mm",5707438197184
076-K61155,"Bunn og topp 467,5 x 190,6 x 16 mm",5707438742193
076-K61160,"Bunn og topp 567,5 x 190,6 x 16 mm",5707438197207
076-K61180,"Bunn og topp 767,5 x 190,6 x 16 mm",5707438197214
076-K71138,"Bunn og topp 167,5 x 558,6 x 16 mm",5707438564443
076-K71160,"Sokkel og lokk til kjøleskap 600,5 x 515 x 16mm",5707438987068
076-K71165,"Sokkel og lokk til kjøleskap 717,5 x 515 x 16mm",5707439068230
076-T12122,Endeliste 120 x 532mm Sort,5707438227546
076-T12124,Sokkel forstykke 120 x 2590mm Sort,5707438227553
076-T12127,Endeliste 120 x 1064mm Sort,5707438227560
076-T12128,Endeliste 120 x 824mm Sort,5707438227577
076-T12133,Sokkelfrontstykke for oppbevaringsplass 120 x 610mm Sort,5707439042780
076-T12134,Sokkelfrontstykke for oppbevaringsplass 120 x 760mm Sort,5714889006514
076-T32122,Endeliste 120 x 658mm Sort,5707438579850
076-T32128,Endeliste 120 x 952mm Sort,5707438709226
102-WEP2731019,Stopp 2730 x 100 x 19 mm,5707438829047
102-WEP2736819,Panel 2730 x 680 x 19mm,5707438819000
117-L06143,Vitrinedør 636 x 396 x 19mm,5707439034600
117-L06153,Vitrinedør 636 x 496 x 19mm,5707439034617
117-L06163,Vitrinedør 636 x 596 x 19mm,5707439034624
117-L08143,Vitrinedør 796 x 396 x 19mm,5707439034631
117-L08153,Vitrinedør 796 x 496 x 19mm,5707439034648
117-L08163,Vitrinedør 796 x 596 x 19mm,5707439034655
117-L12842,Vitrinedør 1276 x 396 x 19mm,5714889000598
117-L12862,Vitrinedør 1276 x 596 x 19mm,5714889000604
118-L06143,Vitrinedør 636 x 396 x 19mm,5707439068308
118-L06153,Vitrinedør 636 x 496 x 19mm,5707439068315
118-L06163,Vitrinedør 636 x 596 x 19mm,5707439068322
118-L08143,Vitrinedør 796 x 396 x 19mm,5707439068339
118-L08153,Vitrinedør 796 x 496 x 19mm,5707439068346
118-L08163,Vitrinedør 796 x 596 x 19mm,5707439068353
118-L12842,Vitrinedør 1276 x 396 x 19mm,5714889000611
118-L12862,Vitrinedør 1276 x 596 x 19mm,5714889000628
121-L06143,Vitrinedør 636 x 396 x 19mm,5714889000635
121-L06153,Vitrinedør 636 x 496 x 19mm,5714889000642
121-L06163,Vitrinedør 636 x 596 x 19mm,5714889000659
121-L08143,Vitrinedør 796 x 396 x 19mm,5714889000666
121-L08153,Vitrinedør 796 x 496 x 19mm,5714889000673
121-L08163,Vitrinedør 796 x 596 x 19mm,5714889000680
121-L12842,Vitrinedør 1276 x 396 x 19mm,5714889000697
121-L12862,Vitrinedør 1276 x 596 x 19mm,5714889000703
122-L06143,Vitrinedør 636 x 396 x 19mm,5714889000710
122-L06153,Vitrinedør 636 x 496 x 19mm,5714889000727
122-L06163,Vitrinedør 636 x 596 x 19mm,5714889000734
122-L08143,Vitrinedør 796 x 396 x 19mm,5714889000741
122-L08153,Vitrinedør 796 x 496 x 19mm,5714889000758
122-L08163,Vitrinedør 796 x 596 x 19mm,5714889000765
122-L12842,Vitrinedør 1276 x 396 x 19mm,5714889000772
122-L12862,Vitrinedør 1276 x 596 x 19mm,5714889000789
142-KS03256,Synlig side 320x560x16mm,5707438876836
142-SG26081,Side for saging 2600 x 800 x 10mm,5707438972507
150-BO64-040,Veggskap 2 hyller 64 x 40 x 19cm,5707438621467
150-BO64-050,Overskap 2 hyller 64 x 50 x 19cm,5707438742148
150-BO64-060,Overskap 2 hyller 64 x 60 x 19cm,5707438621474
150-BO64-080,Veggskap 2 hyller 64 x 80 x 19cm,5707438621481
150-BU4560,Underskap 67 x 60 x 45cm,5707438851666
150-KS03256,Synlig side 320x560x16mm,5707438612687
150-L00460,Skuffefront 36 x 596 x 19mm,5707438499424
150-L01460,Skuffefront 136 x 596 x 19mm,5707439007871
150-L01610,Skuffefront 156 x 996 x 19mm,5707438613646
150-L01612,Skuffefront 156 x 1196 x 19mm,5707438499448
150-L01630,Skuffefront 156 x 296 x 19mm,5707438499455
150-L01640,Skuffefront 156 x 396 x 19mm,5707438499462
150-L01650,Skuffefront 156 x 496 x 19mm,5707438499479
150-L01660,Skuffefront 156 x 596 x 19mm,5707438499486
150-L01680,Skuffefront 156 x 796 x 19mm,5707438499493
150-L02460,Skuffefront 236 x 596 x 19mm,5707439054677
150-L03210,Skuffefront 316 x 996 x 19mm,5707438613783
150-L03212,Skuffefront 316 x 1196 x 19mm,5707438499516
150-L03230,Skuffefront 316 x 296 x 19mm,5707438499523
150-L03240,Skuffefront 316 x 396 x 19mm,5707438499530
150-L03250,Skuffefront 316 x 496 x 19mm,5707438499547
150-L03260,Skuffefront 316 x 596 x 19mm,5707438499554
150-L03264,Skuffefront 316 x 596 x 19mm Hailo/Topit,5707438499561
150-L03280,Skuffefront 316 x 796 x 19mm,5707438499578
150-L03284,Skuffefront 316 x 796 x 19mm Hailo/Topit,5707438499585
150-L03860,Skuffefront 382 x 596 x 19mm,5707439007888
150-L04110,Skuffefront 396 x 996 x 19mm,5707439054684
150-L04112,Skuffefront 396 x 1196 x 19mm,5707439054691
150-L04130,Skuffefront 396 x 296 x 19mm,5707439054707
150-L04140,Skuffefront 396 x 396 x 19mm,5707439054714
150-L04150,Skuffefront 396 x 496 x 19mm,5707439054721
150-L04160,Skuffefront 396 x 596 x 19mm,5707439054738
150-L04180,Skuffefront 396 x 796 x 19mm,5707439054745
150-L04260,Skuffefront 396 x 596 x 19mm Hailo/Topit,5707439054752
150-L04280,Skuffefront 396 x 796 x 19mm Hailo/Topit,5707439054769
150-L04562,Dør høyre 455 x 596 x 19mm,5707439007895
150-L04563,Dør venstre 455 x 596 x 19mm,5707439007901
150-L04840,Dør 476 x 396 x 19mm,5707438499608
150-L04850,Dør 476 x 496 x 19mm,5707438499615
150-L04860,Dør 476 x 596 x 19mm,5707438499622
150-L06430,Dør 636 x 296 x 19 mm,5707438499646
150-L06440,Dør 636 x 396 x 19mm,5707438499660
150-L06450,Dør 636 x 496 x 19mm,5707438499684
150-L06460,Dør 636 x 596 x 19mm,5707438499691
150-L08020,Skuffefront 796 x 196 x 19mm,5707438575098
150-L08030,Dør 796 x 296 x 19mm,5707438499707
150-L08040,Dør 796 x 396 x 19mm,5707438499752
150-L08050,Dør 796 x 496 x 19mm,5707438499769
150-L08060,Dør 796 x 596 x 19mm,5707438499776
150-L08066,Dør 796 x 596 x 19mm for oppvaskmaskinløsning,5714889007474
150-L08135,Hjørneskapdør 2 796 x 320 x 19mm uten boring,5707438987143
150-L08136,Hjørneskapdør 1 796 x 320 x 19mm,5707438987273
150-L09640,Dør 956 x 396 x 19mm,5707438709714
150-L09650,Dør 956 x 496 x 19mm,5707438709721
150-L09660,Dør 956 x 596 x 19mm,5707438709738
150-L12843,Dør 1276 x 396 x 19 mm,5707438499813
150-L12853,Dør 1276 x 496 x 19mm,5707438499820
150-L12863,Dør 1276 x 596 x 19mm,5707438499837
150-L19240,Dør 1916 x 396 x 19mm,5707438499844
150-L19250,Dør 1916 x 496 x 19mm,5707438499868
150-L19260,Dør 1916 x 596 x 19mm,5707438499875
150-L9020,Prøver Designsone 396 x 316 x 19mm,5707438541444
150-L9025,NGM Designzone front 396 x 316 x 19mm,5707439045873
150-SG26080,Side for saging 2600 x 800 x 16mm,5707438742315
150-WDP04011,Skuffefront 137 x 360 x 19mm lav,5707438991768
150-WDP04021,Skuffefront 297 x 360 x 19mm høy,5707438991775
150-WDP06011,Skuffefront 137 x 560 x 19mm lav,5707438991782
150-WDP06021,Skuffefront 297 x 560 x 19mm høy,5707438991799
150-WDP08011,Skuffefront 137 x 760 x 19mm lav,5707438991805
150-WDP08021,Skuffefront 297 x 760 x 19mm høy,5707438991812
150-WDP10011,Skuffefront 137 x 960 x 19mm lav,5707438991829
150-WDP10021,Skuffefront 297 x 960 x 19mm høy,5707438991836
150-WEP2731019,Stopp 2730 x 100 x 19 mm,5707438829085
150-WEP2736819,Panel 2730 x 680 x 19mm,5707438819031
150-WEP2739519,Panel 2730 x 950 x 19mm,5707438819093
154-KS03256,Synlig side 320x560x16mm,5707438867377
154-SG26080,Side for saging 2600 x 800 x 19mm,5707438850638
163-FR035-040,Frittstående skap uten hylle 32 x 40 x 32cm,5714889004220
163-FR035-050,Frittstående skap uten hylle 32 x 50 x 32cm,5714889004237
163-FR035-060,Frittstående skap uten hylle 32 x 60 x 32cm,5714889004244
163-FR065-040,Frittstående skap 1 hylle 64 x 40 x 32cm,5714889004251
163-FR065-050,Frittstående skap 1 hylle 64 x 50 x 32cm,5714889004268
163-FR065-060,Frittstående skap 1 hylle 64 x 60 x 32cm,5714889004275
163-FR085-040,Frittstående skap 2 hyller 80 x 40 x 32cm,5714889004282
163-FR085-050,Frittstående skap 2 hyller 80 x 50 x 32cm,5714889004299
163-FR085-060,Frittstående skap 2 hyller 80 x 60 x 32cm,5714889004305
